year,rate,Norm
1973,48.853,0.370098485
1960,48.844,0.370030303
1979,48.841,0.370007576
1967,48.837,0.369977273
1967,48.823,0.369871212
1980,48.822,0.369863636
1961,48.821,0.369856061
1971,48.821,0.369856061
1976,48.817,0.369825758
1969,48.815,0.369810606
1979,48.809,0.369765152
1970,48.808,0.369757576
1982,48.806,0.369742424
2004,48.803,0.369719697
1978,48.793,0.369643939
1967,48.79,0.369621212
1963,48.789,0.369613636
1961,48.773,0.369492424
1968,48.77,0.369469697
1966,48.768,0.369454545
1980,48.765,0.369431818
1965,48.764,0.369424242
1967,48.763,0.369416667
1969,48.756,0.369363636
1966,48.752,0.369333333
1960,48.752,0.369333333
1971,48.751,0.369325758
1979,48.748,0.36930303
1970,48.735,0.369204545
1963,48.734,0.36919697
1977,48.723,0.369113636
1996,48.719,0.369083333
1969,48.715,0.36905303
1972,48.701,0.36894697
1960,48.691,0.368871212
1965,48.691,0.368871212
1964,48.683,0.368810606
1978,48.681,0.368795455
1976,48.669,0.368704545
1999,48.662,0.368651515
1962,48.662,0.368651515
1962,48.661,0.368643939
1971,48.661,0.368643939
1981,48.658,0.368621212
1973,48.655,0.368598485
1972,48.655,0.368598485
1982,48.652,0.368575758
1980,48.648,0.368545455
1980,48.648,0.368545455
1979,48.641,0.368492424
1977,48.639,0.368477273
1968,48.638,0.368469697
1970,48.635,0.36844697
1977,48.623,0.368356061
1981,48.621,0.368340909
1966,48.62,0.368333333
1979,48.615,0.368295455
1974,48.615,0.368295455
1976,48.606,0.368227273
1994,48.602,0.36819697
1986,48.601,0.368189394
1972,48.6,0.368181818
1971,48.595,0.368143939
1973,48.592,0.368121212
1967,48.587,0.368083333
1975,48.58,0.368030303
1972,48.576,0.368
1976,48.576,0.368
1974,48.566,0.367924242
1974,48.563,0.367901515
1970,48.559,0.367871212
1973,48.559,0.367871212
1982,48.558,0.367863636
1976,48.552,0.367818182
1960,48.549,0.367795455
1965,48.549,0.367795455
1964,48.547,0.367780303
1975,48.547,0.367780303
1963,48.544,0.367757576
1974,48.541,0.367734848
1971,48.539,0.367719697
1962,48.533,0.367674242
1969,48.532,0.367666667
1977,48.527,0.367628788
1971,48.521,0.367583333
1978,48.512,0.367515152
1974,48.506,0.367469697
1978,48.501,0.367431818
1964,48.5,0.367424242
1969,48.499,0.367416667
1982,48.493,0.367371212
1963,48.492,0.367363636
1997,48.49,0.367348485
1973,48.486,0.367318182
1975,48.484,0.36730303
1961,48.48,0.367272727
1983,48.479,0.367265152
1979,48.47,0.36719697
1978,48.465,0.367159091
1978,48.465,0.367159091
1966,48.456,0.367090909
1967,48.449,0.367037879
1975,48.448,0.367030303
1970,48.433,0.366916667
1972,48.43,0.366893939
1980,48.429,0.366886364
1961,48.428,0.366878788
1964,48.423,0.366840909
1980,48.413,0.366765152
1981,48.413,0.366765152
1966,48.406,0.366712121
1965,48.395,0.366628788
1984,48.392,0.366606061
1960,48.386,0.366560606
1982,48.384,0.366545455
1977,48.375,0.366477273
1981,48.374,0.366469697
1966,48.371,0.36644697
1965,48.364,0.366393939
2000,48.355,0.366325758
1963,48.354,0.366318182
1970,48.353,0.366310606
1960,48.352,0.36630303
1971,48.351,0.366295455
1976,48.35,0.366287879
1977,48.34,0.366212121
1960,48.3355111,0.366178114
1963,48.332,0.366151515
1982,48.332,0.366151515
1966,48.329,0.366128788
1964,48.326,0.366106061
1961,48.323,0.366083333
1969,48.318,0.366045455
1980,48.316,0.366030303
1967,48.315,0.366022727
1964,48.314,0.366015152
1991,48.312,0.366
1974,48.312,0.366
1973,48.309,0.365977273
1979,48.308,0.365969697
1962,48.304,0.365939394
1985,48.302,0.365924242
1982,48.301,0.365916667
1965,48.296,0.365878788
1979,48.296,0.365878788
1961,48.295,0.365871212
1963,48.291,0.365840909
1975,48.288,0.365818182
1981,48.284,0.365787879
1973,48.279,0.36575
1983,48.278,0.365742424
1965,48.27739917,0.365737873
1962,48.276,0.365727273
1961,48.273,0.365704545
1972,48.269,0.365674242
1967,48.269,0.365674242
1998,48.264,0.365636364
1960,48.262,0.365621212
1978,48.257,0.365583333
1979,48.251,0.365537879
1974,48.251,0.365537879
1983,48.234,0.365409091
1982,48.219,0.365295455
1962,48.215,0.365265152
1962,48.214,0.365257576
1974,48.213,0.36525
1986,48.21,0.365227273
1971,48.21,0.365227273
1971,48.209,0.365219697
1983,48.206,0.36519697
1983,48.206,0.36519697
1960,48.202,0.365166667
1995,48.194,0.365106061
1980,48.19,0.365075758
1963,48.185,0.365037879
1968,48.18,0.365
1968,48.18,0.365
1968,48.179,0.364992424
1961,48.179,0.364992424
1960,48.178,0.364984848
2005,48.177,0.364977273
1964,48.177,0.364977273
1974,48.173,0.36494697
1966,48.162,0.364863636
1977,48.162,0.364863636
1977,48.161,0.364856061
1989,48.159,0.364840909
1962,48.148,0.364757576
1967,48.146,0.364742424
1961,48.146,0.364742424
1968,48.145,0.364734848
1980,48.144,0.364727273
1983,48.132,0.364636364
1984,48.131,0.364628788
1970,48.129,0.364613636
1965,48.128,0.364606061
1988,48.118,0.364530303
1975,48.117,0.364522727
1976,48.112,0.364484848
1990,48.112,0.364484848
1960,48.112,0.364484848
1987,48.111,0.364477273
1979,48.107,0.36444697
1963,48.107,0.36444697
1972,48.105,0.364431818
1986,48.099,0.364386364
1976,48.093,0.364340909
1960,48.086,0.364287879
1968,48.084,0.364272727
1984,48.083,0.364265152
1977,48.081,0.36425
1963,48.079,0.364234848
1971,48.078,0.364227273
1964,48.076,0.364212121
1972,48.076,0.364212121
1972,48.074,0.36419697
1978,48.058,0.364075758
1962,48.052,0.364030303
1969,48.051,0.364022727
1985,48.049,0.364007576
1999,48.047,0.363992424
1993,48.043,0.363962121
1977,48.041,0.36394697
1972,48.037,0.363916667
1969,48.034,0.363893939
1984,48.033,0.363886364
1973,48.03,0.363863636
1967,48.028,0.363848485
1984,48.022,0.36380303
1976,48.021,0.363795455
1967,48.02,0.363787879
1985,48.019,0.363780303
1987,48.018,0.363772727
1981,48.017,0.363765152
1975,48.014,0.363742424
1975,48.008,0.36369697
2001,48.005,0.363674242
1960,48.005,0.363674242
1988,48,0.363636364
1965,47.994,0.363590909
1968,47.989,0.36355303
1977,47.987,0.363537879
1963,47.98,0.363484848
1964,47.978,0.363469697
1963,47.977,0.363462121
1964,47.977,0.363462121
1964,47.972,0.363424242
1961,47.971,0.363416667
1969,47.969,0.363401515
1970,47.96824464,0.363395793
1987,47.963,0.363356061
1962,47.961,0.363340909
1969,47.96,0.363333333
1973,47.953,0.363280303
1966,47.952,0.363272727
1967,47.952,0.363272727
1991,47.95,0.363257576
1960,47.945,0.363219697
1970,47.934,0.363136364
1978,47.93,0.363106061
1985,47.928,0.363090909
1961,47.927,0.363083333
1965,47.927,0.363083333
1985,47.926,0.363075758
1966,47.923,0.36305303
1963,47.922,0.363045455
1978,47.922,0.363045455
1961,47.916,0.363
1981,47.904,0.362909091
1982,47.898,0.362863636
1960,47.896,0.362848485
1978,47.896,0.362848485
